The Twitter Tweet,"The Sentiment(Positive,Negative, or Neutral)",The Sentiment Score
"RT cmclymer |￣￣￣￣￣ |  
|    TAKE        |  
|    YOUR      |  
|    PETS        |  
|    WITH       |  
|     YOU       | 
| ＿＿＿＿＿|  
(_…",Neutral,0
"So many favorite moments from season 2 It’s so hard to choose, but these are a few of them 💕 What are yours??… tco/o6rdey2qxh",Negative,-9
"Jealous Come through, Pittsburgh 💗💗💗💗 tco/rJUF5Ct3mE",Neutral,0
RT skelechiwatson Guess whaaat?? ThisIsUs tco/y5mFf9pqXJ,Neutral,0
"RT BarackObama We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who defend ou…",Negative,-6
Wooohooooooooooooo Congrats x a million to the one and only RonCephasJones for his EMMY win thisius tco/JqHPM8pOoZ,Negative,-4
Wishing our entire nominated Thisisus family congrats and good luck at tonight’s creativeartsemmys We’re rootin… tco/lX5AKdBUb6,Negative,-5
"I’m hyped too, SKB Check it out, folks tco/moaVr7iXFy",Neutral,0
"Thank you for always leading with your heart, Dan_Fogelman We are all better for it LifeItself tco/mO0NfIOAy5",Negative,-5
I’ll just leave these right here When Bec met Jack Another peak at Season 3 thisisus tco/PQR9I7P3kF,Negative,-2
michellechel Congrats Ryan Can’t wait to watch this 🎉🎉🎉🎉🎉,Neutral,0
💪🏼💪🏼💪🏼💪🏼❤️❤️❤️❤️ tco/zobo3ZJcXS,Neutral,0
Family is forever See you on September 25th 💗 ThisIsUs tco/6YyquU2aGq,Negative,-1
"I’m still incredibly impressed by your moves, MiloVentimiglia tco/P0vnNoebgI",Negative,-2
Mom and Dad are back ✅ ThisIsUs tco/jBL0IqlCfT,Negative,-1
"❤️❤️❤️❤️❤️❤️ yes, friend Thank you for having this conversation/continuing this very worthy dialogue tco/QkxOCsUaFd",Negative,-2
"RT NBCThisisUs What will this new chapter bring? 

Surprises are coming September 25 ThisIsUs tco/4aY6a6qa1Z",Negative,-2
Season 3 is 💪🏼  thisisus tco/bIt7swgFgS,Negative,-1
"RT dansnierson ThisIsUs season 3 firstlook photos See Jack and Rebeccas first date at a carnival, where Rebecca eats twofifths of a…",Negative,-3
DEADLINE NBCThisisUs tco/XnYJcxw6FA,Neutral,0
RT Local871 Join ava Duvernay SterlingKBrown TheMandyMoore  Janefonda in the call to end GenderPayBias for our BTL crafts  Sign the…,Negative,-3
"I miss you every day, Adam Can’t believe it’s been 9 years DJAM tco/jOzg8qKYZY",Neutral,0
"RT TheRickyDavila Undoubtedly one of the most memorable John McCain clips
tco/4JZiZf6pg5",Negative,-2
"Rest in peace, SenJohnMcCain We are forever indebted to you for your service and sacrifice tco/BwQsQCtDGb",Negative,-4
RT billyeichner Making some GLAM UP THE MIDTERMS magic with this crew today Democracy is ADORABLE Video coming soon tco/x…,Negative,-3
"Alright Good going, lyft 💯👍🏼🙌🏼 tco/NMf19gofA6",Neutral,0
Well the cat’s out of the bag What an absolute honor it was to have the one and only annieleibovitz shoot our… tco/fKavtXu50w,Negative,-7
I don’t start my day without thedaily but today’s episode should be required listening for us all tco/ItxqLec1MW,Negative,-2
RT Dan_Fogelman I am in love the first episode of Season 3 of ThisIsUs  I want to marry it and make episode babies with it that look ju…,Negative,-8
Any excuse to hang with the family is aokay with me Thank you DeadlineNellie for moderating and to all who share… tco/tvhODHUfYV,Negative,-6
RT people The Complete Guide to This Is Us PEOPLE Prepares for Season 3 with Special Edition tco/yzGQQwPGM4,Negative,-2
"The best in the biz ❤️ you guys, ThisIsUsWriters tco/AocRs8felU",Negative,-1
"This is SO exciting Congrats and can’t wait, noraborealis tco/ztVL1PnAFb",Negative,-3
RT dawestheband Nothing says “I love you” like a pair of shower shoes tco/1FKT1f4idT,Negative,-2
MissLeslieG No 🤦‍♀️,Neutral,0
RT dawestheband FIRST DAY OF TOUR IS TODAY Playing the Oracle Arena opening for ELO Feeling particularly grateful See you out here ht…,Negative,-2
RT Dan_Fogelman In  Should be a fun night as long as skelechiwatson and ChrissyMetz dont start screaming at everyone and throwing dri…,Negative,-6
Count me in tco/YluLHbBNl4,Positive,1
Dan_Fogelman Hannahgadsby netflix It is transcendent I’m still thinking about it weeks later ❤️❤️❤️❤️,Negative,-5
"In the continued fight for parity in our industry, I just signed a theactionnet petition OPEN LETTER FOR REEL EQU… tco/InygEHr72d",Negative,-2
"Happiest Birthday to our dear, kenolin1 You’re such an integral part of the ThisIsUs family and we 💗 you so 🎂🎂🎂… tco/QHQvss3QjA",Negative,-7
"If you didn’t know, now you know We are BACK on set 🙌🏻💕 ThisIsUs tco/NQ0VsfD0FS",Negative,-1
"Catch me talking about ⁦DarkestMinds⁩, ⁦dawestheband⁩ and ThisIsUs on ⁦JimmyKimmelLive⁩ tonight on ⁦ABC⁩ tco/K3doCiFhW3",Negative,-1
"I had an absolute blast chatting about my pop music start (with a side of britneyspears) Thanks for having me,… tco/sNfF4bsbVK",Negative,-3
Here we go Wait until you see this incredible script from KayOyegun ThisIsUs tco/IOjdhO5aYf,Negative,-1
I was asleep when this aired but man oh man what an absolute privilege to be a part of this show and have the c… tco/fkXrHs1FyQ,Negative,-10
Up all night but that’s a wrap on episode 1 for Jack and Bec ThisIsUs tco/6gA6cjDVgb,Negative,-2
"Happiest Birthday to one of my favorite people, SullivanTweet Hope you’re enjoying a day of all the 🎂 and 🌮 tco/1RO4USyHAy",Negative,-4
"Happiest Birthday, bergernight 🎂🎂🎂🎂🎂 tco/LDXh1har2p",Neutral,0
Dan_Fogelman is the best captain/boss ever Our ThisIsUs family is the luckiest to have him the helm We all won… tco/TZa7OBKw1Y,Negative,-6
"Congrats to our remarkable ThisIsUs family, cast and crew on 8 emmy nominations including drama series… tco/pX8zpAmNYf",Negative,-2
Biggest smile on my face Love our fam pearsonpride thisisus tco/GkyU2BnszC,Positive,1
"Everything Dan_Fogelman touches is brilliant—lifeaffirming, heart breaking and everything in between This movie… tco/EbJATU7sPQ",Neutral,0
"RT MiaFarrow This is Saman Gunan, Thai Navy Seal who died making sure the stranded boys had oxygen  CaveRescue HERO tco/iZL4g3…",Negative,-5
Go team lavfreeordie nhpolitics tco/j01VIWoNkn,Positive,1
IanCeraolo letamericavote 👏🏼🙌🏼👍🏼 good going,Negative,-1
JasonKander Thank you for having me Psyched to be on board Let’s go New Hampshire,Neutral,0
"Thanks for letting me rep my birth state, letamericavote Let’s do this NH tco/v6Ntjsc5E5",Positive,1
believeagain You made my day It was lovely meeting you Xo,Positive,1
"So proud of my badass stepsister carly_craig and can’t WAIT to see her new show (that she created and stars in),… tco/dgKnfksjHa",Negative,-3
morninggloria MeghanMcCain Day made Thanks ladies ❤️❤️❤️,Positive,1
It’s here This record is one to be savored Couldn’t be more proud of dawestheband Check it oooouuuut 🎉🎉🎉🎉🎉 tco/nTmXIMzMyg,Negative,-4
"Check out this chat with me, our boss man Dan_Fogelman and the great debrabirnbaum about what’s ahead on Season 3… tco/i5Gw9V0sdt",Negative,-4
"RT VanityFair TheMandyMoore is a guest on this weeks LittleGoldMen, where she talks about A Walk to Remember, her divorce, and the l…",Negative,-6
"Thank you for having us, ArchDigest Joni and Jackson fully expect to tag along for every photo shoot from now on… tco/5LwMseT2Hi",Negative,-4
PROUD FAN and GF Alert 💗💗💗 dawestheband getting some welldeserved love in nytimes 🙌🏼Dawes’s New Album Unlocks… tco/4VtPDgDhxu,Negative,-3
"cmclymer Thank you, friend 😘😘😘",Neutral,0
TissueTuesdays return September 25th at 9pm See you soon ❤️ ThisIsUs tco/0lW6HK7xGh,Negative,-1
Thanks for having me MTVAwards  Be sure to tune into the show and see all of the winners on Monday night at 9pm o… tco/cYChv6DJT9,Negative,-5
Great cause Great comedy Musical entertainment?  Meh 😉 tco/AKAIB1IRlQ,Neutral,0
I’m not sure I’m completely buying it but I do adore DarrenCriss and appreciate the compliment There was SO much… tco/oxA7AbgQ1V,Negative,-4
One of very fav columns in nytimes and one of my fav podcasts Thank you for having me WBUR Bucket list ✔️… tco/leNSX362nl,Negative,-1
RT Variety Perfectly posed TheMandyMoore and DarrenCriss behind the camera at ActorsOnActors sponsored by Heineken_US tco/cQ…,Negative,-3
"I loved listening to this interview, SiddKhoslaMusic Your score is the magic ingredient that shapes the impact of… tco/mSD237iOfz",Negative,-3
This was such a fun chat with my friend MichaelAusiello I had just come from hanging with Dan_Fogelman and… tco/WOF3TQD0Ey,Negative,-7
RT ablington Anthony Bourdain had one of the only shows on tv that tried with all its might to teach Americans not to be scared of other…,Negative,-9
This is utterly heartbreaking Thank you for opening our eyes to parts of the world both cherished and unknown Wha… tco/6RoOu5G7fr,Negative,-6
TVLine NBCThisisUs justinhartley I wholeheartedly agree 🎯🎯🎯🎯,Neutral,0
Holy cow That was one of my NPREmbedded episode If you haven’t heard go listen ASAP Congrats and fingers cros… tco/1zULCpaFQB,Neutral,0
Thanks for the ❤️ TVLine ThisIsUs tco/qWkAEarquI,Negative,-2
Thanks for the chat Backstage thisisus tco/rzRWftfR74,Negative,-2
"Thanks for the thisisus chat and the walk down memory lane, leighblickley  tco/w1RHxQIli1",Negative,-3
TVietor08 Always Without fail,Neutral,0
rachmeetsworld Aww What a compliment Thank you he’s the best,Negative,-2
Excited for more adventures with the whole tangledtheseries family Bring on season 3 (which we maaaaay have alre… tco/qdv1LQPEpB,Negative,-2
"MichaelAusiello TVLine Loved chatting with you, sir Thanks for having me ❤️",Negative,-1
Love this group with my whole heart (as evidenced by my goooooofy smile) Thanks to all who shared the evening with… tco/dqpBYOKMBk,Negative,-3
"Approximately 22 Veterans a day commit suicide 

Would at least  22 of my Twitter friends please copy and tweet?… tco/YRF6k2LJ5z",Negative,-3
"KayOyegun Get it, lady Can’t wait to see this story on the big screen Congrats",Neutral,0
"The only accessory you need on you today👍🏻 Wear your 🔴, donate now, and catch RedNoseDay LIVE tonight on NBC… tco/w0ZHIc2FQf",Positive,2
"This was a fun one All kinds of shop talk about our work on thisisus Thanks for delving deep, Jack tco/lSaqnMAnis",Negative,-4
Beyond proud of these ladies I am incredibly grateful to get to work with you all Congrats ThisIsUs tco/Vu9qxOZR1z,Negative,-6
veraherbert KJSteinberg2 Yay Thanks for repping thisisus Miss you guys Xx,Neutral,0
"Thanks for the chat, GoldDerby tco/UW9ZmJBEu5",Negative,-2
Why why why? This is just pure evil tco/PLqvt7irIC,Negative,-5
RT jimmykimmel My thoughts on the shooting in SantaFe and the politicians who refuse to do anything about it VoteThemOut tc…,Negative,-6
"Just a little reminder of what we have in store for you this fall Season 3 of thisisus coming soon And yah, some… tco/Sc7qVczkwM",Negative,-4
"😵😵😵 can’t wait to read it, Dan_Fogelman tco/aDHQwlgywr",Negative,-1
💯 tco/PjvLs6iadZ,Neutral,0
robertlicuria NBCThisisUs msamandaspears GoldDerby ThisIsUsWriters It was SO lovely chatting with you both Al… tco/jvDw6NBLAW,Negative,-1
kenolin1 Congrats you two Xoxoxo,Positive,2
This is also what the world needs right now 🙏🏼 tco/OfeaoAzYC1,Negative,-4
Congrats Busy How perfect— can’t wait to watch 🙌🏼🙌🏼🙌🏼💯💯💯 tco/35aCABWVaX,Neutral,0
allisonemiller AtlantaFX donaldglover lakeithlakeith AfroFrias Oh I’m right there with you,Neutral,0
"RT dawestheband PASSWORDS 
Our New Album Out June 22 
Produced by Jonathan Wilson 
Preorder now tco/snzOyK6inn tco/6B…",Negative,-2
My friend marylouiseparker introduced me to the great work being done by parkerclayintl to help vulnerable and ma… tco/10ODBwMSEh,Negative,-8
RT Dan_Fogelman And just when I thought I was out the World Wide Web sucks me back in tco/46y5xN6e2M,Negative,-1
I’ll never forget that journey to CentralAfricanRepublic with you and PSIimpact Thanks for all of the work you c… tco/6OQrr8isOA,Negative,-7
Day made 💯👍🏼 tco/nODlgR0uH2,Neutral,0
Miss you too kenolin1 tco/dCT7QWBVPs,Neutral,0
Go AdamNee So excited for another NeeBrothers adventure mastersoftheuniverse tco/qSNdKOXF7r,Negative,-1
Dan_Fogelman Somehow I got them Thanks Dan they’re beautiful Xo tco/AlFQOEFkKb,Neutral,0
"AmyKinLA onMarcoPolo NBCThisisUs 😘😘😘😘 love you, girl",Neutral,0
"joshgroban netflix Same Also, really into the color palette",Neutral,0
joshgroban netflix I can’t stop Help,Positive,1
"RT voguemagazine “I was 18 years old when I saw the IMAX movie Kilimanjaro To the Roof of Africa,” says themandymoore “I left the thea…",Negative,-3
Already ordered tco/X9OpYwCN2t,Neutral,0
These 2 What’s not to love? 💗💗 tco/R3y3pbqq8H,Negative,-1
AmyKinLA nytimes Go Amy Congrats my friend Xoxoxo,Neutral,0
I’ve had the pleasure of seeing an early cut of this and whew it’s unbelievable Dan_Fogelman can do no wrong… tco/0N1wY7iboO,Negative,-6
"Its always a pleasure chatting wth you, debrabirnbaum Thanks for being a champ and sitting through the age makeu… tco/uokahOyJAL",Negative,-8
"YOU are a gift, my friend And I cherish every second we get to share a scene Miss you already tco/SSwuFBnHX2",Negative,-3
"To our extended Pearson family, our fans 

We are deeply indebted to all of you who have started and continue on t… tco/UzkFRlhCSR",Negative,-7
Yesss ❤️❤️❤️ ThisIsUs tco/O3YacqSmop,Neutral,0
OhJasKnows 💔,Neutral,0
Only the very best for our Kate 😉 ThisIsUs tco/L5m7eTZiRX,Negative,-5
Back at ya lady We’ll see ya after on nbcrise 😉😘 tco/sCfPkSbOdb,Neutral,0
RT NBCThisisUs We had some fun today 😉 ThisIsUs tco/TmC7sQZIhD,Negative,-2
"RT Dan_Fogelman As we approach tonight’s beautiful season finale taking a moment to thank our incredible fans

Two seasons, 36 episod…",Negative,-5
"The grand finale (for season 2) is tomorrow night, and we cannot wait for you to see itespecially if you love a… tco/xiVSdYSqXJ",Negative,-6
Hell YES I just did a little skip in the Dublin airport reading this Couldn’t agree more Go Lyric lyricross… tco/eM6OQDMy1c,Neutral,0
"This made me smile And yes, I am obsessed with all things skelechiwatson Deal with it, Su ❤️😉🤷‍♀️ thisisus tco/9bNzDcaPDT",Negative,-1
"RT UN_Women Women &amp; men from all walks of life come together on WomensDay to tell the world TimeIsNow for gender equality 

Join the…",Negative,-4
"RT Dan_Fogelman Must acknowledge what nbc let us do last night

Our 2ndtolast episode of season featured little of our superstar cast…",Negative,-5
"Same same same JoyBrunson and LyricRoss, what beautiful work (I got a sneak peak yesterday 😉) Go ladies, go… tco/rB3ARyB96u",Negative,-3
"Tonight, next week, and then its a wrap on season ✌🏻 But dont worry, the Pearsons have plenty more to share with… tco/XZ9hY60uxj",Negative,-5
"This Big, Amazing, Beautiful Life ❤ ThisIsUs tco/IurDuCjWEk",Neutral,0
"RT garnierUSA Nearly HALF of Americans don’t recycle their empty beauty and personal care products Join us, TheMandyMoore, TerraCycle,…",Negative,-2
🤷‍♀️🙈😂 tco/NvmzMo2PsR,Neutral,0
That wasa lot Now rest up (like we do between takes 😉) and prepare yourselves for TWO MORE episodes of season t… tco/8tBlwzVmY2,Negative,-2
"A big grand gesture, its not about the actual thing that you doIts about intent Its about taking the time t… tco/BBWYMZ1UOY",Negative,-8
What a special surprise 😍 ThisIsUs tco/mW57F07hK3,Negative,-2
"Grandma’s sitting Vegas out ✌🏻, but can’t wait for you to see what these guys are up to ❤️ ThisIsUs",Negative,-5
"In celebration of NationalPancakeDay, we treat you to Jack making pancakes with the kiddos 😉 ThisIsUs",Negative,-2
"Ive said it before, and Ill say it again tco/XzYzvx9qrt",Negative,-2
"There’s no striking out when it comes to Jack, am I right?? 😜 East Coast, you’re up ThisIsUs tco/GV7g429bJp",Negative,-1
"A glimpse of a few J+R cherished moments, of which there are MANY more to come Let’s start with tonight, shall we?… tco/NMgnjzm84W",Negative,-7
✨Reflections of the heart✨ ThisIsUs tco/vRZWcxjlZE,Negative,-2
"This is a win/win Great script and a great cause I ❤️ your ♥️, SullivanTweet tco/AlXVWnfnGf",Negative,-3
Co sign Can’t believe it’s a wrap on season 2 Thanks to all those who have watched and enjoyed this year The la… tco/5qbDvqPWgz,Negative,-3
"This is everything Can’t wait to watch you kill it, SterlingKBrown tco/nqP57NzUTR",Positive,1
RT skelechiwatson tco/pnPZhK9GCC,Neutral,0
RT SterlingKBrown Wish I had over 280 characters to tell you why I voted for nbcthisisus in the ShortyAwards tco/R7kQnJVpXn,Negative,-2
